category,value,observation_type,month,date
47.64 sports shops,90.1,Constant prices,2019M10,2019-10-01
47.71 clothing stores,116.7,Constant prices,2019M10,2019-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",97.1,Constant prices,2019M10,2019-10-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M11,2019-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,106.3,Constant prices,2019M11,2019-11-01
47.64 sports shops,77.2,Constant prices,2019M11,2019-11-01
47.71 clothing stores,106.6,Constant prices,2019M11,2019-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",106.7,Constant prices,2019M11,2019-11-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M12,2019-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,99.5,Constant prices,2019M12,2019-12-01
47.64 sports shops,103.1,Constant prices,2019M12,2019-12-01
47.71 clothing stores,138.7,Constant prices,2019M12,2019-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",157.9,Constant prices,2019M12,2019-12-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M01,2020-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,97.6,Constant prices,2020M01,2020-01-01
47.64 sports shops,65.9,Constant prices,2020M01,2020-01-01
47.71 clothing stores,104.8,Constant prices,2020M01,2020-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",81.9,Constant prices,2020M01,2020-01-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M02,2020-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.9,Constant prices,2020M02,2020-02-01
47.64 sports shops,74.0,Constant prices,2020M02,2020-02-01
47.71 clothing stores,89.4,Constant prices,2020M02,2020-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",82.3,Constant prices,2020M02,2020-02-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M03,2020-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,92.3,Constant prices,2020M03,2020-03-01
47.64 sports shops,78.3,Constant prices,2020M03,2020-03-01
47.71 clothing stores,69.0,Constant prices,2020M03,2020-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",78.2,Constant prices,2020M03,2020-03-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M04,2020-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,91.0,Constant prices,2020M04,2020-04-01
