category,value,observation_type,month,date
47.64 sports shops,87.2,Constant prices,2020M09,2020-09-01
47.71 clothing stores,100.9,Constant prices,2020M09,2020-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",94.8,Constant prices,2020M09,2020-09-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M10,2020-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,107.0,Constant prices,2020M10,2020-10-01
47.64 sports shops,92.4,Constant prices,2020M10,2020-10-01
47.71 clothing stores,101.4,Constant prices,2020M10,2020-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",96.6,Constant prices,2020M10,2020-10-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M11,2020-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,101.8,Constant prices,2020M11,2020-11-01
47.64 sports shops,83.2,Constant prices,2020M11,2020-11-01
47.71 clothing stores,79.0,Constant prices,2020M11,2020-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",107.0,Constant prices,2020M11,2020-11-01
47.11+47.2 retail sale with mostly food,,Constant prices,2020M12,2020-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,97.4,Constant prices,2020M12,2020-12-01
47.64 sports shops,97.9,Constant prices,2020M12,2020-12-01
47.71 clothing stores,98.4,Constant prices,2020M12,2020-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",130.5,Constant prices,2020M12,2020-12-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M01,2021-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,90.7,Constant prices,2021M01,2021-01-01
47.64 sports shops,80.8,Constant prices,2021M01,2021-01-01
47.71 clothing stores,73.4,Constant prices,2021M01,2021-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",76.1,Constant prices,2021M01,2021-01-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M02,2021-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,92.5,Constant prices,2021M02,2021-02-01
47.64 sports shops,77.4,Constant prices,2021M02,2021-02-01
47.71 clothing stores,68.4,Constant prices,2021M02,2021-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",81.8,Constant prices,2021M02,2021-02-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M03,2021-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,107.3,Constant prices,2021M03,2021-03-01
47.64 sports shops,95.6,Constant prices,2021M03,2021-03-01
47.71 clothing stores,82.4,Constant prices,2021M03,2021-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",85.9,Constant prices,2021M03,2021-03-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M04,2021-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,106.1,Constant prices,2021M04,2021-04-01
47.64 sports shops,105.4,Constant prices,2021M04,2021-04-01
47.71 clothing stores,83.3,Constant prices,2021M04,2021-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",84.6,Constant prices,2021M04,2021-04-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M05,2021-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,106.2,Constant prices,2021M05,2021-05-01
47.64 sports shops,119.3,Constant prices,2021M05,2021-05-01
47.71 clothing stores,101.9,Constant prices,2021M05,2021-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",92.8,Constant prices,2021M05,2021-05-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M06,2021-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,95.7,Constant prices,2021M06,2021-06-01
47.64 sports shops,117.1,Constant prices,2021M06,2021-06-01
47.71 clothing stores,126.0,Constant prices,2021M06,2021-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",89.8,Constant prices,2021M06,2021-06-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M07,2021-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,100.6,Constant prices,2021M07,2021-07-01
47.64 sports shops,119.4,Constant prices,2021M07,2021-07-01
47.71 clothing stores,117.7,Constant prices,2021M07,2021-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",95.1,Constant prices,2021M07,2021-07-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M08,2021-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,99.8,Constant prices,2021M08,2021-08-01
47.64 sports shops,103.2,Constant prices,2021M08,2021-08-01
47.71 clothing stores,111.3,Constant prices,2021M08,2021-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",88.4,Constant prices,2021M08,2021-08-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M09,2021-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,96.7,Constant prices,2021M09,2021-09-01
47.64 sports shops,83.3,Constant prices,2021M09,2021-09-01
47.71 clothing stores,98.6,Constant prices,2021M09,2021-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",103.9,Constant prices,2021M09,2021-09-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M10,2021-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,101.5,Constant prices,2021M10,2021-10-01
47.64 sports shops,88.9,Constant prices,2021M10,2021-10-01
47.71 clothing stores,107.2,Constant prices,2021M10,2021-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",117.8,Constant prices,2021M10,2021-10-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M11,2021-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,104.9,Constant prices,2021M11,2021-11-01
47.64 sports shops,94.0,Constant prices,2021M11,2021-11-01
47.71 clothing stores,107.2,Constant prices,2021M11,2021-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",131.3,Constant prices,2021M11,2021-11-01
47.11+47.2 retail sale with mostly food,,Constant prices,2021M12,2021-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.0,Constant prices,2021M12,2021-12-01
47.64 sports shops,115.6,Constant prices,2021M12,2021-12-01
47.71 clothing stores,122.4,Constant prices,2021M12,2021-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",152.6,Constant prices,2021M12,2021-12-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M01,2022-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,89.0,Constant prices,2022M01,2022-01-01
47.64 sports shops,66.6,Constant prices,2022M01,2022-01-01
47.71 clothing stores,71.9,Constant prices,2022M01,2022-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",86.3,Constant prices,2022M01,2022-01-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M02,2022-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,84.3,Constant prices,2022M02,2022-02-01
47.64 sports shops,70.4,Constant prices,2022M02,2022-02-01
47.71 clothing stores,78.2,Constant prices,2022M02,2022-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",87.2,Constant prices,2022M02,2022-02-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M03,2022-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.9,Constant prices,2022M03,2022-03-01
47.64 sports shops,92.7,Constant prices,2022M03,2022-03-01
47.71 clothing stores,96.4,Constant prices,2022M03,2022-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",94.3,Constant prices,2022M03,2022-03-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M04,2022-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,92.1,Constant prices,2022M04,2022-04-01
47.64 sports shops,96.3,Constant prices,2022M04,2022-04-01
47.71 clothing stores,111.2,Constant prices,2022M04,2022-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",101.0,Constant prices,2022M04,2022-04-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M05,2022-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,91.3,Constant prices,2022M05,2022-05-01
47.64 sports shops,108.6,Constant prices,2022M05,2022-05-01
47.71 clothing stores,122.8,Constant prices,2022M05,2022-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",109.4,Constant prices,2022M05,2022-05-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M06,2022-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,82.5,Constant prices,2022M06,2022-06-01
47.64 sports shops,105.1,Constant prices,2022M06,2022-06-01
47.71 clothing stores,127.9,Constant prices,2022M06,2022-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",97.3,Constant prices,2022M06,2022-06-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M07,2022-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,86.3,Constant prices,2022M07,2022-07-01
47.64 sports shops,107.6,Constant prices,2022M07,2022-07-01
47.71 clothing stores,114.1,Constant prices,2022M07,2022-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",88.9,Constant prices,2022M07,2022-07-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M08,2022-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,86.0,Constant prices,2022M08,2022-08-01
47.64 sports shops,93.4,Constant prices,2022M08,2022-08-01
47.71 clothing stores,108.3,Constant prices,2022M08,2022-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",89.8,Constant prices,2022M08,2022-08-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M09,2022-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,85.3,Constant prices,2022M09,2022-09-01
47.64 sports shops,78.4,Constant prices,2022M09,2022-09-01
47.71 clothing stores,107.8,Constant prices,2022M09,2022-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",98.5,Constant prices,2022M09,2022-09-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M10,2022-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,83.4,Constant prices,2022M10,2022-10-01
47.64 sports shops,77.3,Constant prices,2022M10,2022-10-01
47.71 clothing stores,109.2,Constant prices,2022M10,2022-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",99.9,Constant prices,2022M10,2022-10-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M11,2022-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,84.0,Constant prices,2022M11,2022-11-01
47.64 sports shops,84.7,Constant prices,2022M11,2022-11-01
47.71 clothing stores,111.5,Constant prices,2022M11,2022-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",121.1,Constant prices,2022M11,2022-11-01
47.11+47.2 retail sale with mostly food,,Constant prices,2022M12,2022-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,81.1,Constant prices,2022M12,2022-12-01
47.64 sports shops,98.6,Constant prices,2022M12,2022-12-01
47.71 clothing stores,129.5,Constant prices,2022M12,2022-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",139.8,Constant prices,2022M12,2022-12-01
47.11+47.2 retail sale with mostly food,85.5,Constant prices,2023M01,2023-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,73.0,Constant prices,2023M01,2023-01-01
47.64 sports shops,63.8,Constant prices,2023M01,2023-01-01
47.71 clothing stores,92.8,Constant prices,2023M01,2023-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",94.6,Constant prices,2023M01,2023-01-01
47.11+47.2 retail sale with mostly food,82.3,Constant prices,2023M02,2023-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,67.0,Constant prices,2023M02,2023-02-01
47.64 sports shops,62.4,Constant prices,2023M02,2023-02-01
47.71 clothing stores,82.1,Constant prices,2023M02,2023-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",74.8,Constant prices,2023M02,2023-02-01
47.11+47.2 retail sale with mostly food,93.1,Constant prices,2023M03,2023-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,76.2,Constant prices,2023M03,2023-03-01
47.64 sports shops,76.4,Constant prices,2023M03,2023-03-01
47.71 clothing stores,95.8,Constant prices,2023M03,2023-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",105.1,Constant prices,2023M03,2023-03-01
47.11+47.2 retail sale with mostly food,93.8,Constant prices,2023M04,2023-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,73.2,Constant prices,2023M04,2023-04-01
47.64 sports shops,88.7,Constant prices,2023M04,2023-04-01
47.71 clothing stores,98.8,Constant prices,2023M04,2023-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",104.1,Constant prices,2023M04,2023-04-01
47.11+47.2 retail sale with mostly food,97.2,Constant prices,2023M05,2023-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,74.4,Constant prices,2023M05,2023-05-01
47.64 sports shops,103.7,Constant prices,2023M05,2023-05-01
47.71 clothing stores,117.3,Constant prices,2023M05,2023-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",106.9,Constant prices,2023M05,2023-05-01
47.11+47.2 retail sale with mostly food,103.9,Constant prices,2023M06,2023-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,70.0,Constant prices,2023M06,2023-06-01
47.64 sports shops,97.6,Constant prices,2023M06,2023-06-01
47.71 clothing stores,125.2,Constant prices,2023M06,2023-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",113.3,Constant prices,2023M06,2023-06-01
47.11+47.2 retail sale with mostly food,99.6,Constant prices,2023M07,2023-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,78.3,Constant prices,2023M07,2023-07-01
47.64 sports shops,102.7,Constant prices,2023M07,2023-07-01
